source_id,title,publisher,url,license,license_url,access,formats,geography,temporal_coverage,update_cadence,value_chain_stages,key_fields,questions_supported,known_limitations,ingest_priority,status,last_verified
doe_pv_mfg_map_20260615,U.S. Domestic Solar Photovoltaic Manufacturing Map Data,U.S. Department of Energy,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,US federal public domain,https://www.energy.gov/web-policies,direct download,CSV,United States,current facilities as of 2026-06-15,periodic,"silicon metal; polysilicon; wafer; cell; module","company; facility; product; status; coordinates; nameplate capacity; unit","Where does operating domestic PV capacity exist and how much is rated?","Nameplate not output; may be incomplete; active facilities only; heterogeneous units",P0,ready,2026-09-10
nrel_pvscm_2025,Q1 2025 PV System Cost Benchmark Model,National Laboratory of the Rockies,https://data.openei.org/submissions/8599,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,direct download,"XLSM; TXT; ZIP",United States,2025 benchmark,published edition,"reference system; module BOM; inverter; tracker; eBOS","component; quantity; unit; cost; assumed origin; system design","What is inside a representative installation and what origin assumptions does the model make?","Engineering benchmark not observed procurement; includes an optional battery that must be excluded",P0,ready,2026-09-10
nist_bsys_202606,NIST Building Systems BSYS v1.2026-06.0,National Institute of Standards and Technology,https://www.lcacommons.gov/lca-collaboration/NIST/Building_Systems/datasets/Sources/NIST%20Sources,US federal public domain / new FLCAC submissions CC0,https://flcac-admin.github.io/FLCAC-docs/datasubmissionhandbook/,direct download,"JSON-LD; openLCA",United States and consumption mixes,mostly 2018-2020 process bases; repository 2026,versioned,"silicon refining; wafer; cell; laminate; module; mounts; inverters; optimizer; electrical; recycling","unit process; input/output flow; geography; year; source; uncertainty","What processes and components connect the physical value chain?","Consumption mixes are dated; adapted underlying studies; LCA model not current supplier data",P0,ready_with_caveats,2026-09-10
eia_860,Form EIA-860 Annual Electric Generator Report,U.S. Energy Information Administration,https://www.eia.gov/electricity/data/eia860/,US federal public domain,https://www.eia.gov/about/copyrights_reuse.php,direct download,"XLSX; ZIP",United States,annual generator history and plans,annual,"deployment; demand","plant; generator; technology; capacity; status; planned date; location","How much utility-scale solar exists and is planned?","Generator rather than equipment-supplier data; planned projects may not be built",P0,ready,2026-09-10
eia_860m,Form EIA-860M Preliminary Monthly Electric Generator Inventory,U.S. Energy Information Administration,https://www.eia.gov/electricity/data/eia860m/,US federal public domain,https://www.eia.gov/about/copyrights_reuse.php,direct download,XLSX,United States,current and planned monthly inventory,monthly,"deployment; demand","plant; generator; capacity; status; planned date","What has entered service recently and what is near-term planned?","Preliminary; planned projects uncertain; utility-scale only",P0,ready,2026-09-10
eia_861m,Form EIA-861M Monthly Electric Power Industry Report,U.S. Energy Information Administration,https://www.eia.gov/electricity/data/eia861m/,US federal public domain,https://www.eia.gov/about/copyrights_reuse.php,direct download,XLSX,United States,monthly state estimates,monthly,"small-scale deployment; demand","state; capacity; generation; sector","How much small-scale PV capacity and generation exists?","Aggregated estimates; no equipment origin",P0,ready,2026-09-10
eia_aeo_2026,Annual Energy Outlook 2026,U.S. Energy Information Administration,https://www.eia.gov/outlooks/aeo/tables_ref.php,US federal public domain,https://www.eia.gov/about/copyrights_reuse.php,direct download,"XLSX; CSV; API",United States,2026-2050,annual edition,"future deployment; demand","case; year; technology; capacity; generation","What range of future solar demand is modeled?","Scenarios are not predictions; definitions may differ from historical series",P1,ready,2026-09-10
lbl_utility_solar_2025,Utility-Scale Solar 2025 Edition,Lawrence Berkeley National Laboratory,https://data.openei.org/submissions/8541,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,direct download,"XLSX; PDF; ZIP",United States,projects through 2024,annual,"deployment; technology; demand","project; capacity; module technology; tracking; cost; performance; queue","What technologies and configurations are actually installed?","Non-confidential fields only",P1,ready,2026-09-10
usitc_cspv_5773,Crystalline Silicon Photovoltaic Cells safeguard report Publication 5773,U.S. International Trade Commission,https://www.usitc.gov/publications/safeguards/pub5773.pdf,US federal public domain,https://www.usitc.gov,direct download,PDF,"United States; global",primarily 2021-2025,published investigation,"wafer; cell; module; trade; production","capacity; utilization; shipment; import GW; origin; global stage share","How much is imported; from where; and how concentrated are global stages?","Many producer values redacted as confidential; periodic rather than API-ready",P0,ready_with_caveats,2026-09-10
census_trade_api,Census International Trade API,U.S. Census Bureau,https://www.census.gov/data/developers/data-sets/international-trade.html,US federal data subject to API terms,https://www.census.gov/data/developers/about/terms-of-service.html,API,"JSON; CSV",United States trade partners,monthly and annual,monthly,"materials; cells; modules; inverter; eBOS","HTS; origin/destination; quantity; unit; customs value; period","Which countries directly supply classified products to the United States?","HTS changes; broad codes; direct origin does not reveal embedded upstream origin; disclaimer required",P0,ready_with_caveats,2026-09-10
